A,C,D,G,H,J,K,M,N,R,W,Z,a,b,fraud
-0.538284369,-1.279553146,-1.934043702,1.394638046,0.295067896,-1.075706707,0.680842623,0.977069126,1.941726945,-0.337103271,-0.460158414,-0.222197306,-0.244740225,-0.117641967,0
0.944869373,0.03206728,1.212081783,0.724986737,-0.380006315,-0.114925388,-0.085943806,1.106636754,0.334453377,-0.78732185,-0.007921222,-0.762169277,-0.018965659,0.053926535,0
-6.425056894,-2.448269447,3.411876363,-5.367470759,0.695753419,-3.737277997,2.713438675,-0.290011875,-6.089083933,-1.823931626,-0.330643098,0.088287219,-0.052964814,-1.033084057,1
2.145627183,-0.384625144,-0.638390904,-1.422708186,0.021091985,0.370747766,-0.453729059,0.378171044,1.057439982,-0.415639638,0.10652486,-0.034302122,-0.020754325,-0.048354915,0
1.998370304,-1.79020538,0.607337571,-0.086555474,-0.044748997,-0.484988413,0.726694025,-1.097139896,-1.33904798,0.79761207,5.84e-05,0.647458657,-0.047906361,-0.045738641,0
-0.359021641,-0.034630915,-1.211156701,0.123139842,0.936504776,-0.251199532,-0.180048384,-0.053941964,0.290875674,0.098422227,-0.054840579,0.086380381,0.267035681,0.114251404,0
1.279373081,-1.984933244,1.907173222,0.568491826,-0.135063202,-0.993253769,1.577805052,0.448711955,-3.898306758,2.045643226,-0.315630249,1.101546966,-0.056152832,0.069415046,0
-1.962753067,1.133280483,-0.56477003,0.600368532,-0.563975728,1.996791363,1.216507516,0.656776602,0.590400492,0.241288571,0.29569294,0.322672053,0.08679559,-0.339855373,0
0.524325821,-0.100443968,0.144307318,1.103899475,-0.77165368,1.237624315,-0.710748581,1.194644163,0.305501285,1.067339673,-0.173353522,1.073339666,-0.001074918,-0.039705863,0
-1.574988451,-6.770050221,7.05559553,-5.276592406,1.381270779,-6.776291508,6.87463618,1.805293341,-11.51674713,-3.200090014,-0.166399215,0.04548327,0.455958456,-0.185732624,1
2.128511756,-2.490335452,-0.31210432,0.605366115,-0.289781837,0.186940908,0.456394452,-0.494298124,1.052349776,0.15761101,-0.089800379,0.232930129,-0.096049409,-0.089281229,0
-0.971871923,-1.186304633,-1.282809571,1.365658953,-0.044273064,0.626200445,0.74667057,-1.412875114,1.037993179,0.086198651,-0.18625322,0.059685789,0.415495637,0.151837279,0
1.855076391,-0.031421718,0.065089645,-0.985646868,0.129763867,-0.438434498,-1.049567853,1.235459981,-0.590063367,0.672055295,0.109782701,-0.540848431,0.081531474,-0.002745989,0
-0.507833018,0.808120058,0.17378903,-0.011623597,0.48933545,-0.475685591,0.350734427,0.375005283,0.074242666,0.181030265,-0.064977554,0.281869019,-0.17099054,0.00944341,0
-0.939651663,-5.36965371,3.266618161,-2.114165177,0.63411559,-5.838533428,3.538884835,0.675809843,-8.55102768,-1.446391437,-0.165642673,0.681412127,0.682199444,0.340235335,1
-0.32367745,1.723059769,3.168681591,0.293192298,0.186521066,0.937868634,-1.801236533,-1.070074503,-0.13501314,0.450114084,-0.018884816,0.017579457,0.118838676,0.236561053,0
-1.983052575,-8.879164779,7.484243661,-4.765421565,1.589606142,-9.599979631,8.506593849,0.41665415,-14.71599194,-2.506063582,-0.555599067,0.567986976,1.276572532,0.668176831,1
-6.70984508,-5.33001378,0.831144786,1.212361816,-0.65159253,2.211601372,2.289252078,0.141796836,-3.577252281,0.284443839,-2.100602038,-0.810535909,-0.903108113,2.144211549,0
-1.123607885,-0.732879236,0.811867525,-1.770594565,-0.759677871,-1.604302408,1.779001753,-1.15993886,-1.96555678,-0.286389647,-0.051419054,-0.01863978,0.268764482,0.271579563,1
2.296518561,-0.555556393,-1.442979563,-1.287719008,-0.191492221,1.574794248,-1.10109596,-0.054582184,-0.445500554,0.063589962,0.276517408,-0.175972904,0.025379439,-0.047175792,0
-0.714073953,-4.649009838,2.449280007,-2.120078858,-1.320014894,-3.658414241,1.600143563,-1.313431593,-5.989177966,-0.065320677,0.283981786,0.29535913,0.109894556,-0.083144478,1
-0.224731754,1.323900012,0.32460104,0.880383796,-0.11397541,-0.015174613,1.404243744,-0.099870191,0.314705638,0.048287588,-0.135496406,-0.496582862,0.036004389,-0.049335159,0
-5.044047285,-8.706608147,7.729917957,-4.086148457,0.837339662,-2.267071701,4.271873709,-1.11272341,-13.31701981,-1.222546204,0.51884995,0.379797854,-2.68831906,0.409377735,1
-2.680008091,0.132131197,-1.609304746,-0.138058568,0.769684244,1.327125126,-0.2766603,0.073395306,-0.158095608,-0.892895781,0.172667087,0.748137605,0.374721486,0.1506333,0
1.145447688,0.359124202,0.68558447,-0.157732231,0.083320357,-0.009158125,0.562936599,-1.114222087,0.325340509,0.025199394,-0.057243278,0.271541651,-0.039969509,0.0031515,0
2.181332767,-1.212574497,-0.998412468,-0.448134447,-0.176886093,0.925641618,0.790911628,0.206694272,0.048007404,-1.401124238,0.238282589,-0.400223181,-0.029087366,-0.071157656,0
-0.290191918,0.951343306,-0.13917425,0.76925214,-0.066913185,-0.539056416,-0.825790554,1.064622301,-0.638079288,0.039365904,-0.114845029,0.121067129,0.247803904,0.091892582,0
2.048339142,-1.556215208,0.379104643,0.334623499,-0.267585259,0.310687336,0.724055821,-1.237768185,0.814585357,-0.260379139,0.092964132,0.539394862,-0.106058402,-0.08902231,0
1.916409242,-0.184673713,0.434951863,-0.755373169,0.137663133,0.013040059,0.731511802,-0.608590879,0.132807258,0.650539229,0.131342391,-0.230703555,0.037171379,-0.047452094,0
-1.253981153,1.089857896,-1.144886293,0.443075883,0.556978368,-0.802790251,0.996646424,0.454429053,0.605664382,-0.160833485,-0.023861669,0.103238285,0.074452634,0.020206541,0
2.136845113,-1.505379587,0.174548859,0.141104097,-0.25119631,0.084001147,-1.721955075,-0.053857961,0.272548922,-0.493888371,0.216030745,0.261485018,-0.073903315,-0.071262333,0
1.97711148,-1.650172755,0.373480619,0.040959445,-0.04516814,-0.187516802,1.113168814,-1.137363235,-0.415251519,0.264396817,0.344870191,0.143957955,-0.077392963,-0.037370331,0
-0.934664734,2.178282947,2.760016097,0.462887878,0.094289268,0.209558068,-1.118039928,0.529941298,-1.023587549,-0.195655994,0.510621326,1.152383837,0.081808623,0.041138715,0
1.232398294,0.498627848,1.101301643,0.196087747,-0.259457341,-0.040879607,-0.149510545,1.313119974,0.077720843,-0.322558613,-0.035196749,-0.443369114,0.030576012,0.0285619,0
0.075355559,-0.497803982,-0.666081204,1.87379603,-0.700949364,-1.162165005,0.333294023,3.010685023,1.794291956,-0.284340546,-0.074829968,0.051893937,-0.053460215,0.022689214,0
-0.060135463,0.664149164,-0.561489676,1.271009592,-0.45216324,-0.409501884,-1.337485413,0.708579274,-0.148463861,-0.521969156,-0.187347303,0.249422306,-0.070092229,-0.077364385,0
-0.911479094,-6.317172829,4.929016903,-5.641203596,1.336024534,-7.970585958,7.034630119,-0.313496097,-12.80932051,-3.789982797,-0.319968088,1.115302855,1.359868546,0.720028418,1
0.785081118,-5.208547626,3.940777968,-1.705950852,0.721617861,-3.307818354,3.674522708,-0.101839737,-6.565874877,0.33762528,0.153987941,-0.240084536,0.31759878,-0.017859969,1
-3.412243986,-1.120595734,-0.693892029,-1.323714448,1.380710463,-0.547431335,-1.68187956,-0.191121432,0.778995155,-1.542186548,-0.713613503,-0.63697271,-0.197637835,-0.651053013,0
-1.926593401,-0.419982731,0.931213872,-0.501467662,1.536977758,-0.196294515,0.931537394,-0.255519854,1.326625709,-0.465726048,0.17373831,-0.278884506,0.16373796,-0.022495038,0
-1.491252872,-0.426412592,2.434945556,1.185640702,-0.715992902,2.24003483,-1.658645949,-0.042214607,-0.566475406,-0.155817363,0.366626284,-0.369033092,-1.238674701,0.571177366,0
-2.302167894,1.97119411,0.400337309,-0.370651634,0.548662291,-0.561435146,0.21594386,-0.546218583,-0.185463607,0.74055658,1.101091273,-0.59003581,-0.074195209,-0.316296234,0
-1.299559106,0.94747474,-0.200829316,1.265509667,-0.321058401,-0.539180521,0.745454607,-0.81316858,0.47661968,0.70040279,-0.343238738,0.262764967,-0.233130516,-0.168315078,0
1.243160536,1.71900527,-0.125915752,-1.759927749,0.45024694,0.275268643,-0.986776782,-2.052686783,-0.949235208,-1.676010473,0.002435689,-0.029206349,0.090192113,0.022800935,0
-11.55418796,-13.73111842,7.702407415,-13.77440347,7.376178374,-13.43525443,6.754233025,1.297961466,-13.11785221,-7.694574912,-0.432781404,0.359796286,-0.222568849,-0.466075046,1
-10.8068546,-14.66269091,6.941067973,-16.01017803,-2.57172547,-12.45675961,4.569433712,-0.074392793,-5.828785365,-5.438316607,1.283482288,-0.710977426,-1.949082847,-0.361412372,1
-4.659166377,0.185203078,5.142790407,-0.634167932,-0.697686568,3.99779708,0.988304198,-0.202848001,-0.75003189,-0.606903345,0.116265141,0.628980832,-0.508658992,0.728529599,1
0.853962629,1.574056053,-0.082126552,-1.785322536,0.530915045,0.311653555,-0.21839757,-1.541627753,-1.147819394,-0.345729147,-0.385672748,0.083826352,0.052374734,0.049701653,0
-0.761733463,0.911643973,1.257163519,0.32618315,0.539064964,-0.350638789,-1.052403046,0.20750882,0.266608424,-0.546113319,-0.103961168,-0.200501155,0.300005152,0.135846551,0
-6.843528484,-8.793137488,7.615303486,-11.29355826,4.311316401,-12.03175317,7.08948412,0.522364077,-14.18624716,-8.740385851,0.008339071,0.305059109,1.544457199,0.335032063,1
-4.264209887,-1.886926484,-4.52351145,-2.473436756,2.968162478,2.743570405,-0.7599918,0.410973373,-0.070852357,-0.141629094,0.133485279,-0.311554077,0.848799989,0.517737705,0
0.150455235,-2.959668046,1.533847657,1.628117578,0.083436577,-1.565702307,0.199035982,0.749106355,-3.426416569,1.319931808,0.277597496,-0.32707254,0.118949356,-0.123678096,0
-1.597105101,0.962142307,1.043425187,0.565327302,0.029227558,0.738010226,-0.019717301,1.30358752,-0.062350254,-0.525796228,-0.034936779,-0.374598295,-0.216433397,-0.012117681,0
0.38799796,0.740437351,-1.811649447,-0.201059787,-0.213702056,1.55772388,0.677540892,-0.23955556,-0.347369805,0.127024107,0.626768047,-0.758895777,0.144995534,0.069626127,0
1.400807995,-1.938627758,0.502468878,0.741857744,-0.488536299,-0.184908401,-1.172391086,1.091663375,0.335794278,0.177898691,-0.423314863,-0.103452383,-0.081966269,0.002042019,0
1.763323086,-2.820392599,-0.935112933,0.654900946,-0.495377001,1.014602968,0.717459524,-0.572177186,1.009716016,1.004586316,-0.239291601,1.564836648,-0.224960511,-0.063287367,0
-2.07622956,-2.710882362,2.323598715,-0.652201278,-0.387624824,-1.749827068,1.973772137,0.221666099,-6.038794802,-1.46377243,0.191160675,-0.914073817,-0.599614742,0.647305461,1
-0.304985789,0.286725425,-2.985385942,-0.568806333,0.443934042,0.615345596,-0.15065716,0.054433632,-0.046610961,0.66830495,0.048300618,-0.37206958,0.089512813,0.132585611,0
-0.790544299,1.343980404,-0.530960316,0.476781312,0.053717346,-1.059342984,-0.665543275,0.235321299,-1.981639043,0.774544584,0.155829689,0.328049714,0.172632481,0.038560303,0
-7.772663784,-2.838168424,2.905076278,-5.512575447,1.652825809,-3.868605579,2.041186759,0.056004725,-4.906061494,-1.042382745,-0.969288359,0.252785814,0.640633964,-1.044943734,1
0.999325154,1.033126569,0.604371077,-0.598794336,0.156935895,-0.180386545,-0.249305983,-0.348654436,0.049899456,-0.234729198,-0.010513211,0.478269582,-0.002820007,0.038619382,0
2.070626207,-1.763674396,0.381060427,0.238877839,-0.266991959,-0.401566035,-0.592574722,0.767034064,-0.986029621,-0.337688663,0.305144574,0.178211654,-0.060051195,-0.029157115,0
-14.20924032,-21.43148841,11.92636308,-15.49157831,-0.332664348,-13.34352092,10.18076756,0.597123214,-14.47820068,-4.836041601,0.993810425,0.63510999,2.17125429,-1.395593159,1
2.210197381,-1.399973147,-2.073039821,-0.307687635,-0.496260377,-0.084720346,-0.762443704,1.172659834,-0.052800218,1.226782274,-0.027296993,0.088144627,0.019273349,-0.056593003,0
1.711707384,-1.306702834,0.170998849,-0.041600511,0.031684291,-0.083221562,0.567036415,-1.557777871,0.600256184,-0.019258617,0.135497156,-0.149955028,-0.067186988,-0.036482152,0
-1.167612404,1.488396437,-3.25945473,0.133648158,-0.212742471,1.468541938,0.276120419,-0.026717703,-0.991002084,0.658942424,-0.389861102,-0.184840343,0.111913641,-0.264641878,0
-0.40618359,-4.030715498,0.08531905,2.6717958,0.020293659,-1.404170238,0.377451492,-1.110775323,-0.791720374,1.876451817,0.755610235,-0.40807487,0.356406094,0.405959521,0
-1.966563625,-1.216496669,2.963304887,0.242684384,-0.318473564,-2.204653352,2.561955714,-0.025007377,-2.813453913,-2.217643168,0.068963299,-0.3895752,0.140998271,-0.055916455,1
-0.427273498,1.851383234,2.420818161,0.515371816,0.264334988,0.261851414,-1.107149889,-1.952883345,0.287013308,-0.624803054,-0.010996281,-0.028098579,0.136199986,0.137680416,0
0.72327361,-7.052456446,6.674410675,-2.28379109,0.705844456,-4.334986132,6.430992298,0.747041449,-8.717313443,1.106672164,0.348596692,0.407763126,0.618951834,0.15749924,1
1.170985881,0.499559521,-2.208557377,-1.303668087,0.470640365,-0.630232855,3.166680985,1.466469453,1.825935624,0.444355195,0.088089356,0.161181032,0.083899861,-0.006717989,0
1.695881502,-2.706719656,4.484675918,0.168979514,-0.054714327,-0.394614445,1.655386094,-0.553102842,-3.638619858,0.599851812,0.058501916,-0.026513341,0.102410838,0.065693604,1
-4.072084281,-0.048370268,0.035281544,-1.913606458,2.315372057,0.924760744,-1.481774396,0.273062728,-0.947466284,1.675949565,-0.505038104,-0.108361385,0.772007235,0.508763424,0
1.032000305,0.655771828,0.006393298,-0.863423391,0.268026481,-0.45569907,-0.182636025,0.862111431,-0.999963504,0.189004555,-0.264852595,1.235217631,-0.077715223,0.018536441,1
2.17991343,-2.253905514,-2.037998669,-0.564005784,-0.175341452,1.783261464,-0.359113634,0.513536118,0.155763395,0.603793137,0.040628677,-0.290498557,-0.056104854,-0.054399834,0
1.17744045,0.373114334,-0.696920324,-0.509807434,0.007477581,0.754857895,1.533900481,0.757644268,0.219875189,0.851338777,0.095185606,0.908118225,-0.051417386,0.010223333,0
-0.527136428,-0.695598792,-1.126849897,-0.107501357,1.237227938,-0.594853512,-0.462122464,-0.024911637,0.715014598,0.342774944,-0.133956331,0.301832645,-0.017193537,0.081878759,0
-1.375662937,-1.039583718,-1.901374907,-0.829919185,1.980778326,-1.719343594,-0.131433549,-0.180149995,-0.616371597,0.366921254,0.034309253,-0.246577349,0.008340675,0.086102604,0
0.015709474,-6.367604271,6.545939579,-1.654492733,0.213579015,-6.131390593,6.096896132,0.094067037,-10.70811886,0.378394362,-0.59113048,0.52094002,0.73630512,0.506879467,1
1.32665739,-0.427513173,-0.842293207,0.164945984,-0.217371558,-0.955348256,-1.152433484,-1.700979019,0.61054417,0.08160331,-0.25185816,-0.512861771,0.022349721,0.004789695,0
1.96792894,-1.29583478,0.288789289,0.046648136,-0.074344507,0.107837609,0.331230066,-1.814252091,0.886039488,0.172904034,0.233381755,-0.579085031,-0.032187647,-0.061564653,0
-0.491166318,-0.877136066,1.375273277,1.069944704,-0.172057656,-1.637083265,0.273142047,0.396247619,-3.529164002,1.399172118,-0.431364602,-0.154016269,0.093775332,0.209727387,0
-1.38846687,0.989901834,-0.357931591,0.030969609,0.2976605,-0.823278071,-0.337718726,2.725130014,1.064408942,0.430128345,-0.260704027,0.558898334,0.258846142,0.192127958,0
1.877631027,-1.556157146,4.37648658,0.510571446,-0.233281251,0.187423368,0.000470364,0.664548229,-2.9478697,0.205154128,0.158538183,-0.062738309,0.010141146,0.016513651,0
1.998972226,0.032569192,0.49584971,-1.259204221,0.223664978,1.125148707,0.01503086,0.240316256,-0.166632618,2.285404908,0.276861344,-0.741712373,0.096083693,-0.027853721,0
-1.547505022,-1.191355453,1.200474329,1.988120669,-0.643275042,-0.876957121,0.08728667,0.119173012,0.65348098,-0.452636407,-1.135582132,0.671681375,-0.364124062,0.261682334,0
-1.458826454,-0.838367565,-1.200908755,0.790653221,-0.89935298,1.348365314,-1.212927002,1.677536372,-0.679612908,-0.739947816,0.136582701,0.120719496,0.364820183,-0.078079158,0
0.975690796,1.176864628,1.699806086,-0.803235505,0.31249804,-0.303951935,-2.034588376,-1.586217683,-0.5671488,0.236553219,-0.295294962,-0.096516069,0.063869867,0.040321486,0
2.069149459,-0.709328296,-1.076386386,-1.155051337,0.207430118,0.880556957,0.457875222,-0.891850048,-0.051197138,-0.795780491,0.345715881,-0.508460196,-0.008142688,-0.043462334,0
2.004888196,-1.852629466,0.325114946,0.208379348,-0.2351569,-0.335133932,1.143457391,0.568169008,-0.663868691,0.967203863,-0.095814098,-0.094631244,-0.002533152,-0.042009506,0
-19.69664498,-19.00678301,7.563686163,-19.76916407,3.140703981,-16.580961,4.547688011,1.29759559,-7.616242085,-8.019828268,-0.504632416,0.040424177,-3.422279946,-1.048897575,1
1.697031582,-1.424020736,-1.00345339,-0.553383934,-0.069977076,0.755989387,-0.106947848,1.329989187,-0.403780727,-0.545410336,-0.244530365,-0.138516685,-0.04579905,-0.025323018,0
-2.109760345,-3.958008718,5.612203031,-5.768633957,1.732505301,-6.088030615,3.834953825,1.489656044,-8.374533354,-5.232425181,-0.128313016,0.349910896,1.289532284,0.559071687,1
1.019171375,0.252582477,-2.663187856,-0.903363874,0.331832681,-1.030562607,0.734969299,0.055677724,0.066388085,-0.597071561,0.036456836,-0.63553744,0.161972686,0.035386144,0
1.171075142,0.468571767,1.720566256,-0.161450045,0.090507717,0.302880306,-1.249275774,1.181541514,-0.505736458,-1.054922548,-0.124016038,1.0582551,-0.041475446,0.00137201,0
-9.318038338,-1.570683152,2.829806523,-5.845104984,1.211226588,-0.662497027,0.505236308,1.046218412,0.181273166,0.73805928,-0.06690654,-0.012238759,0.050720244,-2.085363659,0
-0.009375834,-2.404110219,1.810623868,1.425314359,0.165781796,-1.488342885,2.537169503,0.299094869,-3.075155545,2.021695214,0.748031368,-0.438570715,0.04231028,-0.03553758,0
1.222424246,1.389418947,0.868138431,-1.366997894,0.409191761,0.35059431,-2.028882188,1.209800907,-1.409889529,0.706273378,-0.074852232,-0.198466931,0.151056676,0.032648733,0
-1.702203303,1.074689123,0.893457837,-0.213446014,1.212691429,-0.506177643,0.309393798,0.700847973,0.241216841,-0.215134849,-0.065817456,-0.827588151,0.237750597,0.045057577,0
1.236747246,0.1931535,0.496248363,-0.002233947,-0.052843502,-0.122434582,1.386333681,0.506950832,-0.172035637,0.267465106,0.071779683,0.096606838,-0.025357079,0.017952817,0
-10.18162011,-11.75261349,7.925325449,-12.13827771,6.389355058,-12.57280228,6.377687028,1.017493047,-12.1459961,-8.708343912,-0.009670587,-0.008492294,0.176549992,-0.35005662,1
-0.960924801,1.099839628,0.875331422,-0.557972524,0.771668427,-0.071917659,0.377760684,0.270005809,0.471318727,1.237231883,0.080140533,-0.683478953,0.416849863,0.136190826,0
-1.170577873,0.801534275,0.179343508,0.811904607,0.407805127,-0.965507333,-0.687653096,-0.604826475,0.736869799,-0.34415707,0.117833587,-0.506034712,-0.022303964,0.046118947,0
-0.707495367,1.909610464,2.583809502,0.905653507,-0.630049016,1.710696252,0.106689519,1.335259911,-0.554144661,-0.630691055,-0.123768109,-0.011279518,-0.973249398,-0.282697863,0
1.98099477,-0.845791258,1.014485834,-0.147915386,0.078830458,0.284659132,0.444347941,0.825923396,0.1279479,-0.070736643,0.424787036,-1.183315089,0.032990652,-0.036814729,0
-0.935946002,2.348544857,-0.372910115,0.651904386,-0.487427918,-0.200811485,-0.704903332,0.758287805,-0.942595872,-0.035753015,-0.559683002,0.738531984,-0.587626946,-0.298364242,0
1.738610092,-1.570994104,-0.508880747,-0.409420018,0.181742454,0.738655993,1.09272761,0.656905803,0.424566551,0.493893828,-0.066977127,0.065637461,0.038092714,-0.053207472,0
-1.112588977,0.607964323,-1.356847589,0.99816746,0.059525472,-0.142226571,0.186955677,-0.673368801,0.455292863,0.04625264,-0.03153145,0.56018575,0.301152173,0.24372439,0
1.848170529,-1.30934192,0.319921833,-0.019237611,0.130473216,-0.087314653,-0.261872556,-0.603532059,0.45084367,-2.253485291,0.34292023,0.371856546,-0.031097802,-0.069117055,0
1.208269302,1.056225118,1.215621043,-0.630626174,0.16699202,-0.176467642,-1.387785724,-0.560805303,-0.257358839,0.195065952,-0.054125322,-0.372625979,0.069047582,0.029787179,0
-0.296448077,-0.50792349,-0.885086669,0.567336267,0.44584389,-0.469805323,-0.3449593,-0.166790644,0.632321383,0.16610341,0.033635313,0.18704838,0.10815437,0.014565144,0
1.305270622,0.539705237,-0.913200674,-0.653552809,0.073315291,-1.051306819,-1.34758001,-0.823590251,-0.014124632,0.575581851,-0.128266065,-0.631412008,0.086471535,0.024786986,0
-3.657405116,-0.077778163,-0.108495007,0.104411008,0.413151095,0.833755765,1.164437389,1.055747789,0.979895944,-0.330515498,0.952668361,0.095636045,0.667097422,0.520953501,0
-5.047093679,-5.573946874,2.483242716,-5.504685231,-0.697053363,-4.755952038,2.835063315,0.949645496,-3.712346444,-2.810299895,-1.026791359,-0.6462908,0.576031514,-0.1953557,1
0.119076298,-6.398075409,6.039404927,-1.99014723,0.403686355,-5.857869159,6.600648551,0.831850119,-10.13643716,0.58843872,-0.501794593,0.515745659,0.718222129,0.444225415,1
-4.996519994,-7.982237408,7.643264958,-8.508384881,2.996137818,-11.25862653,7.339852446,0.361694724,-13.60874457,-9.053991722,0.03438287,0.382789364,2.022860117,0.879556305,1
-0.465377518,2.009022226,0.518015693,0.415298257,-0.05629138,-1.114335167,0.738608864,2.758368917,0.926575964,-0.832776915,-0.152822411,0.36336856,0.030620549,0.049434139,0
1.28656239,0.839680619,-0.863657514,-1.180611116,0.226627359,0.720883495,1.34567169,0.491051331,-0.284830394,-0.724866676,-0.139727279,-0.019242787,0.048739973,0.011775971,0
1.822729304,-2.282933939,0.803789106,0.472228539,0.173525493,0.372116114,1.223132146,-0.253892506,1.089813142,-1.176704012,0.002294077,-0.419535969,0.000906822,-0.072665257,0
1.98237548,-1.245321236,0.235202129,0.098368443,-0.100102387,0.054309884,0.958110005,-0.072436096,0.534280938,-0.137421781,0.308184692,-0.641207385,-0.022080824,-0.049487694,0
-2.923826664,-3.018758033,3.289291475,-0.509995432,-3.569443569,-4.320535776,1.277202265,-0.971869594,-4.857776672,-1.648406094,-4.288638999,-0.204532177,1.510206487,-0.324706013,1
-12.08331179,-11.64514034,4.784415324,-12.76592407,0.771641935,-11.48293359,4.088486399,-0.13299801,-7.684472274,-5.971061771,-0.402422898,-0.107518924,-1.626313745,-0.416590439,1
-0.250491667,0.949918881,-1.645345445,0.606117443,-0.386094812,0.573366822,-0.896766558,-1.37180965,-0.358158751,-1.456665193,-0.183637382,-0.368739114,0.088839454,0.013043118,0
-0.065295756,-0.312653361,0.934587571,1.004934311,-0.049539127,-0.287199277,-1.271684266,-1.320969504,2.414112887,0.519228006,-0.232775891,-0.453176345,0.399636318,0.241465598,0
-0.38183214,-0.098241049,2.492514405,0.281235077,1.049757417,0.493850824,-0.784553456,-0.977214589,0.860390703,-1.767078043,0.040246341,0.171156153,-0.06897716,-0.071521737,0
-1.687445233,-0.274545127,-0.713208941,-0.698109451,-3.709755746,-0.582494893,-1.089784714,0.164764206,0.556800316,-0.731154749,0.518312275,0.2164959,0.05789243,-0.042723351,0
-2.064287912,0.459482064,-0.208647201,-0.499862593,1.571808913,-0.741389604,1.10366307,-0.943536678,1.523846558,-0.350628488,-0.14028498,0.4744484,-0.377537814,-0.097804485,0
-1.336496482,-0.527186809,0.951202635,1.853749091,-0.247886916,0.914044814,0.725916408,-0.746659246,0.534919607,0.115374949,-0.34135561,-0.440653976,0.295886909,-0.169544328,0
-0.326046209,0.529752479,-0.210276212,-0.012135727,0.122161263,0.67041273,0.012920589,0.310806094,-0.019525894,-2.868296057,0.059523803,0.203247989,0.084215421,0.19762737,0
1.263071965,-0.534973577,1.526034902,-0.21214279,0.057331655,0.274832873,0.647660103,-1.157516665,0.525482287,1.028938169,-0.142215881,-0.618414719,-0.017807843,0.016500538,0
-0.86842988,-0.406403845,-0.182116716,0.785379063,-0.154668366,-1.994813795,-0.237487311,-1.313505133,-2.35658745,1.53055331,-0.381356991,-0.08922464,0.10436785,0.195959788,0
2.01688876,-1.502254968,-1.552346221,-0.532533105,-0.289741265,1.801074779,0.887280086,-0.788641671,0.473393553,0.114245416,0.193677207,-0.343464084,-0.056199823,-0.045559357,0
2.121846772,-1.942309662,0.053945771,0.751522554,-0.585694628,-0.006982707,-0.504865526,0.235264924,0.717665058,-0.689703975,0.013142057,0.173922081,-0.074614656,-0.075825081,0
2.129100829,-1.635980904,-1.176035215,-0.289237248,-0.223461777,0.930402644,0.251302081,0.857019729,0.021957125,-1.056974429,0.091162569,-0.387645605,-0.046397138,-0.065702504,0
-0.811506679,-3.210347009,-1.307534378,-0.261803051,-2.011883505,-2.01716975,0.536060799,-0.921269508,-1.944267497,0.565320404,-0.415715805,0.674368222,-0.301695567,0.091084743,0
2.0508196,-1.754796506,0.422952975,0.159322701,-0.200016021,-0.36567287,-0.725970596,-0.572255282,-0.715337373,-0.207792811,0.328446942,0.175622567,-0.069694472,-0.029908943,0
-2.707925141,-0.281678486,-0.669972495,-1.005483744,0.252888491,-0.692563458,0.122063999,-0.530251592,0.416258407,1.231548717,1.85600074,0.33432419,0.067744052,0.444802619,0
